captured_at_utc,line_id,line_name,mode_name,status_severity,status_severity_description,reason,disruption_category,validity_period_from,validity_period_to
2026-09-23T20:36:36+00:00,bakerloo,Bakerloo,tube,10,Good Service,,,,
2026-09-23T20:36:36+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays due to to train cancellations.,RealTime,2026-09-23T20:04:52Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,circle,Circle,tube,2,Suspended,Circle Line: No service while we fix a points failure at Tower Hill.,RealTime,2026-09-23T20:14:17Z,2026-09-23T23:35:27Z
2026-09-23T20:36:36+00:00,district,District,tube,6,Severe Delays,"District Line: No service between Embankment and Whitechapel eastbound only, and SEVERE DELAYS between Earl's Court and Ealing Broadway / Richmond while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line. London buses are accepting tickets via any reasonable route.",RealTime,2026-09-23T20:09:31Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,district,District,tube,6,Severe Delays,"District Line: No service between Embankment and Whitechapel eastbound only, and SEVERE DELAYS between Earl's Court and Ealing Broadway / Richmond while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line. London buses are accepting tickets via any reasonable route.",RealTime,2026-09-23T20:09:31Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,district,District,tube,9,Minor Delays,"District Line: No service between Embankment and Whitechapel eastbound only, and SEVERE DELAYS between Earl's Court and Ealing Broadway / Richmond while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line. London buses are accepting tickets via any reasonable route.",RealTime,2026-09-23T20:09:31Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,district,District,tube,3,Part Suspended,"District Line: No service between Embankment and Whitechapel eastbound only, and SEVERE DELAYS between Earl's Court and Ealing Broadway / Richmond while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line. London buses are accepting tickets via any reasonable route.",RealTime,2026-09-23T20:09:31Z,2026-09-23T23:35:27Z
2026-09-23T20:36:36+00:00,hammersmith-city,Hammersmith & City,tube,9,Minor Delays,Hammersmith and City Line: No service between Liverpool Street and Barking while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line.,RealTime,2026-09-23T20:25:41Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,hammersmith-city,Hammersmith & City,tube,3,Part Suspended,Hammersmith and City Line: No service between Liverpool Street and Barking while we fix a points failure at Tower Hill. MINOR DELAYS on the rest of the line.,RealTime,2026-09-23T20:25:41Z,2026-09-23T23:35:27Z
2026-09-23T20:36:36+00:00,jubilee,Jubilee,tube,10,Good Service,,,,
2026-09-23T20:36:36+00:00,metropolitan,Metropolitan,tube,9,Minor Delays,Metropolitan Line: Minor delays between Harrow-on-the-Hill and Uxbridge while we fix a signal failure at Rayners Lane. GOOD SERVICE on the rest of the line.,RealTime,2026-09-23T20:13:09Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,northern,Northern,tube,10,Good Service,,,,
2026-09-23T20:36:36+00:00,piccadilly,Piccadilly,tube,9,Minor Delays,Piccadilly Line: Minor delays between South Harrow and Uxbridge while we fix a signal failure at Rayners lane. GOOD SERVICE on the rest of the line.,RealTime,2026-09-23T20:30:00Z,2026-09-24T00:29:00Z
2026-09-23T20:36:36+00:00,victoria,Victoria,tube,10,Good Service,,,,
2026-09-23T20:36:36+00:00,waterloo-city,Waterloo & City,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,bakerloo,Bakerloo,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays due to to train cancellations.,RealTime,2026-09-23T20:04:52Z,2026-09-25T00:29:00Z
2026-09-23T23:08:22+00:00,circle,Circle,tube,9,Minor Delays,Circle Line: Minor delays due to an earlier points failure at Tower Hill.,RealTime,2026-09-23T22:46:24Z,2026-09-25T00:29:00Z
2026-09-23T23:08:22+00:00,district,District,tube,6,Severe Delays,District Line: Severe delays due to an earlier points failure at Tower Hill. London Buses are accepting tickets via any reasonable route.,RealTime,2026-09-23T22:56:18Z,2026-09-25T00:29:00Z
2026-09-23T23:08:22+00:00,hammersmith-city,Hammersmith & City,tube,6,Severe Delays,Hammersmith and City Line: Severe delays due to an earlier points failure at Tower Hill.,RealTime,2026-09-23T21:31:05Z,2026-09-25T00:29:00Z
2026-09-23T23:08:22+00:00,jubilee,Jubilee,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,metropolitan,Metropolitan,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,northern,Northern,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,piccadilly,Piccadilly,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,victoria,Victoria,tube,10,Good Service,,,,
2026-09-23T23:08:22+00:00,waterloo-city,Waterloo & City,tube,10,Good Service,,,,
2026-09-24T01:24:08+00:00,bakerloo,Bakerloo,tube,20,Service Closed,Bakerloo Line: Service will resume later this morning.,RealTime,2026-09-24T00:12:37Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,central,Central,tube,20,Service Closed,Central Line: Service will resume later this morning.,RealTime,2026-09-24T00:12:49Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,circle,Circle,tube,20,Service Closed,Circle Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:01Z,2026-09-24T04:22:34Z
